time,antenna,tagid,rssi
2021-08-30 15:27:21,1,52666678,-65
2021-08-30 15:31:45,2,52666678,-65
2021-08-30 15:38:23,1,52666678,-65
2021-08-30 15:44:25,4,52666678,-65
2021-08-30 15:46:36,4,52666678,-65
2021-08-30 15:46:49,4,52666678,-65
2021-08-30 15:57:09,2,52666678,-65
2021-08-30 15:58:17,4,52666678,-65
2021-08-30 16:14:15,5,52666678,-65
2021-08-30 16:18:10,1,52666678,-65
2021-08-30 16:23:12,4,52666678,-65
2021-08-30 16:30:40,1,52666678,-65
2021-08-30 16:37:20,1,52666678,-65
2021-08-30 16:51:48,2,52666678,-65
2021-08-30 16:59:00,1,52666678,-65
2021-08-30 14:24:46,4,52666678,-66
2021-08-30 14:29:11,4,52666678,-66
2021-08-30 14:30:28,4,52666678,-66
2021-08-30 14:31:09,4,52666678,-66
2021-08-30 14:34:50,4,52666678,-66
2021-08-30 14:46:23,4,52666678,-66
2021-08-30 14:47:37,4,52666678,-66
2021-08-30 14:48:25,4,52666678,-66
2021-08-30 14:48:53,4,52666678,-66
2021-08-30 14:48:57,4,52666678,-66
2021-08-30 14:49:01,4,52666678,-66
2021-08-30 14:51:31,2,52666678,-66
2021-08-30 14:52:28,4,52666678,-66
2021-08-30 14:54:00,4,52666678,-66
2021-08-30 14:54:22,4,52666678,-66
2021-08-30 14:54:39,4,52666678,-66
2021-08-30 14:54:40,4,52666678,-66
2021-08-30 14:54:53,4,52666678,-66
2021-08-30 14:57:30,4,52666678,-66
2021-08-30 14:57:34,4,52666678,-66
2021-08-30 14:57:49,4,52666678,-66
2021-08-30 14:59:40,4,52666678,-66
2021-08-30 15:00:03,4,52666678,-66
2021-08-30 15:00:09,4,52666678,-66
2021-08-30 15:00:40,4,52666678,-66
2021-08-30 15:02:13,4,52666678,-66
2021-08-30 15:04:00,4,52666678,-66
2021-08-30 15:05:42,4,52666678,-66
2021-08-30 15:09:06,4,52666678,-66
2021-08-30 15:13:19,4,52666678,-66
2021-08-30 15:15:41,4,52666678,-66
2021-08-30 15:16:07,4,52666678,-66
2021-08-30 15:16:24,4,52666678,-66
2021-08-30 15:17:21,1,52666678,-66
2021-08-30 15:18:38,4,52666678,-66
2021-08-30 15:19:18,4,52666678,-66
2021-08-30 15:19:23,4,52666678,-66
2021-08-30 15:21:10,4,52666678,-66
2021-08-30 15:21:29,4,52666678,-66
2021-08-30 15:23:10,1,52666678,-66
2021-08-30 15:24:53,4,52666678,-66
2021-08-30 15:25:42,4,52666678,-66
2021-08-30 15:27:48,4,52666678,-66
2021-08-30 15:29:10,4,52666678,-66
2021-08-30 15:31:03,4,52666678,-66
2021-08-30 15:32:48,4,52666678,-66
2021-08-30 15:37:29,4,52666678,-66
2021-08-30 15:50:58,4,52666678,-66
2021-08-30 15:56:50,4,52666678,-66
2021-08-30 16:19:22,4,52666678,-66
2021-08-30 16:30:03,4,52666678,-66
2021-08-30 16:58:14,1,52666678,-66
2021-08-30 16:58:50,4,52666678,-66
2021-08-30 14:24:06,4,52666678,-67
2021-08-30 14:28:06,4,52666678,-67
2021-08-30 14:49:57,4,52666678,-67
2021-08-30 14:52:09,4,52666678,-67
2021-08-30 14:54:16,4,52666678,-67
2021-08-30 14:54:41,4,52666678,-67
2021-08-30 14:57:10,4,52666678,-67
2021-08-30 14:59:26,4,52666678,-67
2021-08-30 14:59:56,4,52666678,-67
2021-08-30 15:00:16,4,52666678,-67
2021-08-30 15:02:32,4,52666678,-67
2021-08-30 15:05:39,4,52666678,-67
2021-08-30 15:09:03,4,52666678,-67
2021-08-30 15:09:55,4,52666678,-67
2021-08-30 15:10:02,4,52666678,-67
2021-08-30 15:10:04,4,52666678,-67
2021-08-30 15:16:32,4,52666678,-67
2021-08-30 15:19:45,4,52666678,-67
2021-08-30 15:27:43,4,52666678,-67
2021-08-30 15:27:54,4,52666678,-67
2021-08-30 15:28:14,4,52666678,-67
2021-08-30 15:29:14,1,52666678,-67
2021-08-30 15:35:22,4,52666678,-67
2021-08-30 15:57:06,4,52666678,-67
2021-08-30 16:19:00,1,52666678,-67
2021-08-30 16:20:40,1,52666678,-67
2021-08-30 16:29:58,4,52666678,-67
2021-08-30 16:36:40,4,52666678,-67
2021-08-30 16:43:05,4,52666678,-67
2021-08-30 16:46:44,4,52666678,-67
2021-08-30 16:58:36,4,52666678,-67
2021-08-30 14:25:50,4,52666678,-68
2021-08-30 14:29:20,4,52666678,-68
2021-08-30 14:31:34,4,52666678,-68
2021-08-30 14:35:00,4,52666678,-68
2021-08-30 14:40:40,1,52666678,-68
2021-08-30 14:42:35,4,52666678,-68
2021-08-30 14:45:37,4,52666678,-68
2021-08-30 14:46:21,4,52666678,-68
2021-08-30 14:47:48,4,52666678,-68
