Time,RadioId,TagId,TagRSSI
2021-04-17 18:55:35,2,61662D7F,-108
2021-04-17 18:56:28,3,61662D7F,-108
2021-04-17 18:55:14,3,61662D7F,-107
2021-04-17 18:57:11,3,61662D7F,-107
2021-04-17 18:57:54,3,61662D7F,-107
2021-04-17 19:03:34,2,61662D7F,-107
2021-04-17 19:38:36,3,61662D7F,-107
2021-04-17 19:41:03,3,61662D7F,-107
2021-04-17 19:46:13,4,61662D7F,-107
2021-04-17 19:49:25,3,61662D7F,-107
2021-04-17 19:54:02,3,61662D7F,-107
2021-04-17 18:53:18,3,61662D7F,-106
2021-04-17 18:57:00,3,61662D7F,-106
2021-04-17 19:04:16,5,61662D7F,-106
2021-04-17 19:54:34,3,61662D7F,-106
2021-04-17 20:09:53,4,61662D7F,-106
2021-04-17 18:55:46,3,61662D7F,-105
2021-04-17 19:04:38,1,61662D7F,-105
2021-04-17 19:12:36,1,61662D7F,-105
2021-04-17 19:13:48,4,61662D7F,-105
2021-04-17 19:42:29,1,61662D7F,-105
2021-04-17 19:55:38,1,61662D7F,-105
2021-04-17 19:57:45,3,61662D7F,-105
2021-04-17 18:49:20,4,61662D7F,-104
2021-04-17 18:54:21,3,61662D7F,-104
2021-04-17 18:56:18,3,61662D7F,-104
2021-04-17 18:58:15,3,61662D7F,-104
2021-04-17 19:00:01,3,61662D7F,-104
2021-04-17 19:00:33,3,61662D7F,-104
2021-04-17 19:04:16,1,61662D7F,-104
2021-04-17 19:04:27,1,61662D7F,-104
2021-04-17 19:04:27,5,61662D7F,-104
2021-04-17 19:04:59,5,61662D7F,-104
2021-04-17 19:15:01,5,61662D7F,-104
2021-04-17 19:17:39,1,61662D7F,-104
2021-04-17 19:18:00,1,61662D7F,-104
2021-04-17 19:19:56,1,61662D7F,-104
2021-04-17 19:25:45,1,61662D7F,-104
2021-04-17 19:28:55,3,61662D7F,-104
2021-04-17 19:34:46,3,61662D7F,-104
2021-04-17 19:44:16,1,61662D7F,-104
2021-04-17 19:47:38,1,61662D7F,-104
2021-04-17 19:47:49,3,61662D7F,-104
2021-04-17 19:47:59,3,61662D7F,-104
2021-04-17 19:52:37,1,61662D7F,-104
2021-04-17 19:53:51,1,61662D7F,-104
2021-04-17 19:54:23,1,61662D7F,-104
2021-04-17 19:54:45,3,61662D7F,-104
2021-04-17 19:55:38,3,61662D7F,-104
2021-04-17 20:10:03,4,61662D7F,-104
2021-04-17 20:10:24,1,61662D7F,-104
2021-04-17 18:52:15,5,61662D7F,-103
2021-04-17 18:58:26,3,61662D7F,-103
2021-04-17 18:58:58,3,61662D7F,-103
2021-04-17 18:59:51,3,61662D7F,-103
2021-04-17 19:04:16,2,61662D7F,-103
2021-04-17 19:04:38,2,61662D7F,-103
2021-04-17 19:05:09,4,61662D7F,-103
2021-04-17 19:05:09,1,61662D7F,-103
2021-04-17 19:17:39,2,61662D7F,-103
2021-04-17 19:18:21,5,61662D7F,-103
2021-04-17 19:19:14,1,61662D7F,-103
2021-04-17 19:19:25,1,61662D7F,-103
2021-04-17 19:21:21,3,61662D7F,-103
2021-04-17 19:22:14,3,61662D7F,-103
2021-04-17 19:25:24,1,61662D7F,-103
2021-04-17 19:27:41,1,61662D7F,-103
2021-04-17 19:44:05,1,61662D7F,-103
2021-04-17 19:51:33,3,61662D7F,-103
2021-04-17 19:52:05,5,61662D7F,-103
2021-04-17 18:49:51,3,61662D7F,-102
2021-04-17 18:55:25,3,61662D7F,-102
2021-04-17 18:55:57,3,61662D7F,-102
2021-04-17 18:56:07,3,61662D7F,-102
2021-04-17 19:01:05,3,61662D7F,-102
2021-04-17 19:14:51,5,61662D7F,-102
2021-04-17 19:17:39,4,61662D7F,-102
2021-04-17 19:17:50,1,61662D7F,-102
2021-04-17 19:19:35,5,61662D7F,-102
2021-04-17 19:20:49,5,61662D7F,-102
2021-04-17 19:29:06,5,61662D7F,-102
2021-04-17 19:30:10,3,61662D7F,-102
2021-04-17 19:30:41,3,61662D7F,-102
2021-04-17 19:31:35,1,61662D7F,-102
2021-04-17 19:33:21,1,61662D7F,-102
2021-04-17 19:33:31,1,61662D7F,-102
2021-04-17 19:39:28,2,61662D7F,-102
2021-04-17 19:40:53,3,61662D7F,-102
2021-04-17 19:42:18,3,61662D7F,-102
2021-04-17 19:46:24,5,61662D7F,-102
2021-04-17 19:47:38,5,61662D7F,-102
